"","Unnamed: 0","LEI_input","attributes.entity.legalName.name","attributes.entity.registeredAs","registeredAs_raw","registeredAs_type","resolved_CIK","resolution_confidence","resolved_company_name","resolved_series_name","resolved_class_name","resolved_CIK_padded10","edgar_name","edgar_entityType","edgar_category","edgar_error","iapd_error","source_type","FilingID","Fund ID","Fund Name","ReferenceID","Fund Type","Fund Type Other","Country","State","FILE_NUM_RAW","FILE_NUM_CLEAN","ACCESSIONNUMBER","FILING_DATE","SUBMISSIONTYPE","ENTITYNAME","STATEORCOUNTRY","STATEORCOUNTRYDESCRIPTION","JURISDICTIONOFINC","ENTITYTYPE","INDUSTRYGROUPTYPE","INVESTMENTFUNDTYPE","ISPOOLEDINVESTMENTFUNDTYPE","source_quarter_dir","edgar_entity_url","LEI","lei_match_status"
"1","19","2549002M024XDN7GA753","Global Macro Strategy US Fund LLC","0002019813","0002019813","SEC_CIK_PADDED","2019813","high",NA,NA,NA,"0002019813","Global Macro Strategy Fund US LLC","other",NA,NA,"Code HTTP 403 - None","IA",2076942,"805-7574287222","GLOBAL MACRO STRATEGY US FUND LLC",373133,"Hedge Fund",NA,"United States","Delaware","021-512299","021-512299","0002019813-25-000002","05-MAY-2025","D/A","Global Macro Strategy Fund US LLC","NY","NEW YORK","DELAWARE","Limited Liability Company","Pooled Investment Fund","Hedge Fund","true","2025Q2_d","https://www.sec.gov/edgar/browse/?CIK=0002019813&owner=exclude",NA,"ready_for_lei_enrichment"
"2","19","2549002M024XDN7GA753","Global Macro Strategy US Fund LLC","0002019813","0002019813","SEC_CIK_PADDED","2019813","high",NA,NA,NA,"0002019813","Global Macro Strategy Fund US LLC","other",NA,NA,"Code HTTP 403 - None","IA",2087666,"805-7574287222","GLOBAL MACRO STRATEGY US FUND LLC",373133,"Hedge Fund",NA,"United States","Delaware","021-512299","021-512299","0002019813-25-000002","05-MAY-2025","D/A","Global Macro Strategy Fund US LLC","NY","NEW YORK","DELAWARE","Limited Liability Company","Pooled Investment Fund","Hedge Fund","true","2025Q2_d","https://www.sec.gov/edgar/browse/?CIK=0002019813&owner=exclude",NA,"ready_for_lei_enrichment"
"3","19","2549002M024XDN7GA753","Global Macro Strategy US Fund LLC","0002019813","0002019813","SEC_CIK_PADDED","2019813","high",NA,NA,NA,"0002019813","Global Macro Strategy Fund US LLC","other",NA,NA,"Code HTTP 403 - None","IA",2088744,"805-7574287222","GLOBAL MACRO STRATEGY US FUND LLC",373133,"Hedge Fund",NA,"United States","Delaware","021-512299","021-512299","0002019813-25-000002","05-MAY-2025","D/A","Global Macro Strategy Fund US LLC","NY","NEW YORK","DELAWARE","Limited Liability Company","Pooled Investment Fund","Hedge Fund","true","2025Q2_d","https://www.sec.gov/edgar/browse/?CIK=0002019813&owner=exclude",NA,"ready_for_lei_enrichment"
"4","25","254900GN13SAL6XL5551","Partners Group IDF II-Series V","0002055418","0002055418","SEC_CIK_PADDED","2055418","high",NA,NA,NA,"0002055418","Partners Group IDF II - Series V, a series of Partners Group Insurance Dedicated Fund II, L.P.","other",NA,NA,"Code HTTP 403 - None","IA",2039964,"805-9485517509","PARTNERS GROUP IDF II - SERIES V, A SERIES OF PARTNERS GROUP INSURANCE DEDICATED FUND II, L.P.",374398,"Private Equity Fund",NA,"United States","Delaware","021-539503","021-539503","0002055418-25-000007","28-FEB-2025","D","Partners Group IDF II - Series V, a series of Partners Group Insurance Dedicated Fund II, L.P.","TX","TEXAS","DELAWARE","Limited Partnership","Pooled Investment Fund","Hedge Fund","true","2025Q1_d","https://www.sec.gov/edgar/browse/?CIK=0002055418&owner=exclude",NA,"ready_for_lei_enrichment"
"5","26","254900JAG35XQ9P2KI44","Partners Group Private Markets Insurance Fund II, a series of SALI Multi-Series Fund IX, L.P.","0002059782","0002059782","SEC_CIK_PADDED","2059782","high",NA,NA,NA,"0002059782","Partners Group Private Markets Insurance Fund II, a series of SALI Multi-Series Fund IX, L.P.","other",NA,NA,"Code HTTP 403 - None","IA",2039964,"805-9099551437","PARTNERS GROUP PRIVATE MARKETS INSURANCE FUND II, A SERIES OF SALI MULTI-SERIES FUND IX, L.P.",368805,"Private Equity Fund",NA,"United States","Delaware","021-540650","021-540650","0002059782-25-000001","12-MAR-2025","D","Partners Group Private Markets Insurance Fund II, a series of SALI Multi-Series Fund IX, L.P.","TX","TEXAS","DELAWARE","Limited Partnership","Pooled Investment Fund","Private Equity Fund","true","2025Q1_d","https://www.sec.gov/edgar/browse/?CIK=0002059782&owner=exclude",NA,"ready_for_lei_enrichment"
"6","59","54930006DV23XSSHE888","PARTNERS GROUP PRIVATE EQUITY II, LLC","0001756041","0001756041","SEC_CIK_PADDED","1756041","high",NA,NA,NA,"0001756041","Partners Group Private Equity II, LLC","other",NA,NA,"Code HTTP 403 - None","IA",2059109,"805-7035481227","PARTNERS GROUP PRIVATE EQUITY II, LLC",237362,"Private Equity Fund",NA,"United States","Delaware","021-323726","021-323726","0001756041-25-000003","10-OCT-2025","D/A","Partners Group Private Equity II, LLC","NY","NEW YORK","DELAWARE","Limited Liability Company","Pooled Investment Fund","Private Equity Fund","true","2025Q4_d","https://www.sec.gov/edgar/browse/?CIK=0001756041&owner=exclude",NA,"ready_for_lei_enrichment"
"7","62","5493000FWRF0ODIXGB49","Wellington-CIS Fixed Income Fund, L.P.","0001976344","0001976344","SEC_CIK_PADDED","1976344","high",NA,NA,NA,"0001976344","Wellington-CIS Fixed Income Fund, L.P.","other",NA,NA,"Code HTTP 403 - None","IA",2086044,"805-9870413418","WELLINGTON-CIS FIXED INCOME FUND, L.P.",367303,"Other Private Fund","POOLED INVESTMENT VEHICLE","United States","Delaware","021-481490","021-481490","0000919574-25-002795","09-MAY-2025","D/A","Wellington-CIS Fixed Income Fund, L.P.","MA","MASSACHUSETTS","DELAWARE","Limited Partnership","Pooled Investment Fund","Hedge Fund","true","2025Q2_d","https://www.sec.gov/edgar/browse/?CIK=0001976344&owner=exclude",NA,"ready_for_lei_enrichment"
"8","78","54930023UGLPTVI6M922","GMO Amplified Equity Dislocation Solution Fund, L.P.","0001779338","0001779338","SEC_CIK_PADDED","1779338","high",NA,NA,NA,"0001779338","GMO Amplified Equity Dislocation Solution Fund, L.P.","other",NA,NA,"Code HTTP 403 - None","IA",2057135,"805-3108604716","GMO AMPLIFIED EQUITY DISLOCATION SOLUTION FUND, L.P.",233731,"Hedge Fund",NA,"United States","Delaware","021-360040","021-360040","0001779338-24-000001","31-MAY-2024","D/A","GMO Amplified Equity Dislocation Solution Fund, L.P.","MA","MASSACHUSETTS","DELAWARE","Limited Partnership","Pooled Investment Fund","Hedge Fund","true","2024Q2_d","https://www.sec.gov/edgar/browse/?CIK=0001779338&owner=exclude",NA,"ready_for_lei_enrichment"
"9","98","5493004W9MRHT4S5MH34","WELLINGTON SELECT CHINA, L.P.","0001741878","0001741878","SEC_CIK_PADDED","1741878","high",NA,NA,NA,"0001741878","Wellington Select China, L.P.","other",NA,NA,"Code HTTP 403 - None","IA",2086835,"805-8771159338","WELLINGTON SELECT CHINA, L.P.",198758,"Other Private Fund","POOLED INVESTMENT VEHICLE","United States","Delaware","021-313863","021-313863","0000919574-25-007172","26-NOV-2025","D/A","Wellington Select China, L.P.","MA","MASSACHUSETTS","DELAWARE","Limited Partnership","Pooled Investment Fund","Other Investment Fund","true","2025Q4_d","https://www.sec.gov/edgar/browse/?CIK=0001741878&owner=exclude",NA,"ready_for_lei_enrichment"
"10","116","5493006BFSDSV1YLMW91","PARTNERS GROUP REAL ESTATE SECONDARY 2017 (USD) A, L.P.","0001688380","0001688380","SEC_CIK_PADDED","1688380","high",NA,NA,NA,"0001688380","Partners Group Real Estate Secondary 2017 (USD) A, L.P.","other",NA,NA,"Code HTTP 403 - None","ERA",2056899,"805-8378716371","PARTNERS GROUP REAL ESTATE SECONDARY 2017 (USD) A, L.P.",202065,"Private Equity Fund",NA,"United States","Delaware","021-273153","021-273153","0001688380-18-000001","2018-10-17 17:27:07","D/A","Partners Group Real Estate Secondary 2017 (USD) A, L.P.","NY","NEW YORK","DELAWARE","Limited Partnership","Pooled Investment Fund","Private Equity Fund","true","2018Q4_d","https://www.sec.gov/edgar/browse/?CIK=0001688380&owner=exclude",NA,"ready_for_lei_enrichment"
"11","116","5493006BFSDSV1YLMW91","PARTNERS GROUP REAL ESTATE SECONDARY 2017 (USD) A, L.P.","0001688380","0001688380","SEC_CIK_PADDED","1688380","high",NA,NA,NA,"0001688380","Partners Group Real Estate Secondary 2017 (USD) A, L.P.","other",NA,NA,"Code HTTP 403 - None","ERA",2088255,"805-8378716371","PARTNERS GROUP REAL ESTATE SECONDARY 2017 (USD) A, L.P.",202065,"Private Equity Fund",NA,"United States","Delaware","021-273153","021-273153","0001688380-18-000001","2018-10-17 17:27:07","D/A","Partners Group Real Estate Secondary 2017 (USD) A, L.P.","NY","NEW YORK","DELAWARE","Limited Partnership","Pooled Investment Fund","Private Equity Fund","true","2018Q4_d","https://www.sec.gov/edgar/browse/?CIK=0001688380&owner=exclude",NA,"ready_for_lei_enrichment"
"12","123","54930072S75KX35I1654","PIMCO Private Funds LLC: PIMCO Large Cap StocksPLUS Absolute Return Fund","0001460669","0001460669","SEC_CIK_PADDED","1460669","high",NA,NA,NA,"0001460669","PIMCO Private Funds LLC: PIMCO Large Cap StocksPLUS Absolute Return Fund","other",NA,NA,"Code HTTP 403 - None","IA",2068777,"805-7032151208","PIMCO LARGE CAP STOCKSPLUS ABSOLUTE RETURN FUND",31772,"Hedge Fund",NA,"United States","Delaware","021-130027","021-130027","0001460669-24-000001","04-DEC-2024","D/A","PIMCO Private Funds LLC: PIMCO Large Cap StocksPLUS Absolute Return Fund","CA","CALIFORNIA","DELAWARE","Limited Liability Company","Pooled Investment Fund","Hedge Fund","true","2024Q4_d","https://www.sec.gov/edgar/browse/?CIK=0001460669&owner=exclude",NA,"ready_for_lei_enrichment"
"13","131","5493007NDWGIZB3VR535","BlackRock Master Hedge, L.P. - Opportunistic Series","0001761602","0001761602","SEC_CIK_PADDED","1761602","high",NA,NA,NA,"0001761602","BlackRock Master Hedge, L.P. - Opportunistic Series","other",NA,NA,"Code HTTP 403 - None","IA",2063668,"805-4597454256","BLACKROCK MASTER HEDGE, L.P. - OPPORTUNISTIC SERIES",214329,"Hedge Fund",NA,"United States","Delaware","021-327927","021-327927","0002051806-25-000008","27-JAN-2025","D/A","BlackRock Master Hedge, L.P. - Opportunistic Series","WA","WASHINGTON","DELAWARE","Limited Partnership","Pooled Investment Fund","Other Investment Fund","true","2025Q1_d","https://www.sec.gov/edgar/browse/?CIK=0001761602&owner=exclude",NA,"ready_for_lei_enrichment"
"14","131","5493007NDWGIZB3VR535","BlackRock Master Hedge, L.P. - Opportunistic Series","0001761602","0001761602","SEC_CIK_PADDED","1761602","high",NA,NA,NA,"0001761602","BlackRock Master Hedge, L.P. - Opportunistic Series","other",NA,NA,"Code HTTP 403 - None","IA",2064908,"805-4597454256","BLACKROCK MASTER HEDGE, L.P. - OPPORTUNISTIC SERIES",214329,"Hedge Fund",NA,"United States","Delaware","021-327927","021-327927","0002051806-25-000008","27-JAN-2025","D/A","BlackRock Master Hedge, L.P. - Opportunistic Series","WA","WASHINGTON","DELAWARE","Limited Partnership","Pooled Investment Fund","Other Investment Fund","true","2025Q1_d","https://www.sec.gov/edgar/browse/?CIK=0001761602&owner=exclude",NA,"ready_for_lei_enrichment"
